Table S14. Metadata of lichen-associated genomes used to find signatures of Starship horizontal transfer amongst lichen symbionts.								
Genome ID	Accession ID	Species	Genus	Class	Lifestyle	Host	Assembly Release Date	WGS project accession
calogaya.arnoldii.1	GCA_051941235.1	Calogaya_arnoldii	Calogaya	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBK01
calogaya.arnoldii.2	GCA_051941725.1	Calogaya_arnoldii	Calogaya	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEAF01
caloplaca.aegaea.1	GCA_023646655.1	Caloplaca_aegaea	Caloplaca	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIP01
caloplaca.aetnensis.1	GCA_023646255.1	Caloplaca_aetnensis	Caloplaca	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIC01
caloplaca.ligustica.1	GCA_023645885.1	Caloplaca_ligustica	Caloplaca	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIE01
caloplaca.sp..1	GCA_051941525.1	Caloplaca_sp.	Caloplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEAR01
caloplaca.sp..2	GCA_051941485.1	Caloplaca_sp.	Caloplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEAT01
caloplaca.sp..3	GCA_052059075.1	Caloplaca_sp.	Caloplaca	Lecanoromycetes	Lichen-forming	N/A	8/15/25	JAVEAY01
cetradonia.linearis.1	GCA_003521265.1	Cetradonia_linearis	Cetradonia	Lecanoromycetes	Lichen-forming	N/A	9/10/18	QKZZ01
cetrelia.chicitae.1	GCA_964257465.1	Cetrelia_chicitae	Cetrelia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVFK01
cetrelia.olivetorum.1	GCA_964255315.1	Cetrelia_olivetorum	Cetrelia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWO01
circinaria.calcarea.1	GCA_051942165.1	Circinaria_calcarea	Circinaria	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVECS01
cladonia.arbuscula.1	GCA_964255635.1	Cladonia_arbuscula	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXX01
cladonia.borealis.1	GCA_018257855.2	Cladonia_borealis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	7/12/23	JAFEKC02
cladonia.caroliniana.1	GCA_964256855.1	Cladonia_caroliniana	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCL01
cladonia.coccifera.1	GCA_964254445.1	Cladonia_coccifera	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUS01
cladonia.didyma.1	GCA_964255485.1	Cladonia_didyma	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXM01
cladonia.diversa.1	GCA_964605785.1	Cladonia_diversa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/2/25	CAZSEB01
