Orthogroup	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_SAMEA111342678
OG0000032	XANCAGTX0491_006070-T1	XANPAOZ2100_005625-T1, XANPAOZ2100_004661-T1
OG0000033	XANCAGTX0491_006077-T1	XANPAOZ2100_003380-T1
OG0000034	XANCAGTX0491_007996-T1	XANPAOZ2100_007505-T1
OG0000034	XANCAGTX0491_007355-T1	XANPAOZ2100_007158-T1
OG0000035	XANCAGTX0491_009311-T1	XANPAOZ2100_008728-T1
OG0000035	XANCAGTX0491_007989-T1	XANPAOZ2100_007511-T1
OG0000037	XANCAGTX0491_008810-T1	XANPAOZ2100_005602-T1
OG0000037	XANCAGTX0491_000460-T1, XANCAGTX0491_007997-T1, XANCAGTX0491_005737-T1	XANPAOZ2100_004979-T1
OG0000038	XANCAGTX0491_002519-T1	XANPAOZ2100_001273-T1
OG0000038	XANCAGTX0491_000790-T1	XANPAOZ2100_000540-T1
OG0000039	XANCAGTX0491_000918-T3, XANCAGTX0491_000918-T1	XANPAOZ2100_000422-T1
OG0000039	XANCAGTX0491_009350-T1	XANPAOZ2100_008764-T1
OG0000040	XANCAGTX0491_002455-T1, XANCAGTX0491_002456-T1	XANPAOZ2100_008077-T1
OG0000040	XANCAGTX0491_001019-T1	XANPAOZ2100_000333-T1
OG0000041	XANCAGTX0491_001761-T1	XANPAOZ2100_004305-T1
OG0000041	XANCAGTX0491_004717-T1	XANPAOZ2100_003471-T1
OG0000042	XANCAGTX0491_002094-T1	XANPAOZ2100_008400-T1
OG0000042	XANCAGTX0491_005447-T1, XANCAGTX0491_002930-T1	XANPAOZ2100_001659-T1
OG0000043	XANCAGTX0491_002812-T1	XANPAOZ2100_001547-T1
OG0000044	XANCAGTX0491_003360-T1	XANPAOZ2100_002048-T1
OG0000044	XANCAGTX0491_006116-T1	XANPAOZ2100_003349-T1
OG0000045	XANCAGTX0491_004530-T2, XANCAGTX0491_004530-T1	XANPAOZ2100_003638-T1
OG0000045	XANCAGTX0491_006756-T1	XANPAOZ2100_002778-T1, XANPAOZ2100_003383-T1
OG0000046	XANCAGTX0491_008664-T1	XANPAOZ2100_005465-T1
OG0000046	XANCAGTX0491_007431-T2, XANCAGTX0491_007431-T1	XANPAOZ2100_007086-T1
OG0000047	XANCAGTX0491_007785-T1	XANPAOZ2100_006748-T1
OG0000048	XANCAGTX0491_000823-T1	XANPAOZ2100_000509-T1
OG0000048	XANCAGTX0491_000025-T1, XANCAGTX0491_000997-T1	XANPAOZ2100_000353-T1
OG0000049	XANCAGTX0491_000936-T1, XANCAGTX0491_004822-T1, XANCAGTX0491_000936-T2	XANPAOZ2100_000407-T1
OG0000050	XANCAGTX0491_008602-T1	XANPAOZ2100_005414-T1
OG0000050	XANCAGTX0491_001280-T1	XANPAOZ2100_000097-T1
OG0000051	XANCAGTX0491_001396-T1	XANPAOZ2100_004631-T1
OG0000051	XANCAGTX0491_008027-T1	XANPAOZ2100_007477-T1
OG0000052	XANCAGTX0491_001407-T1	XANPAOZ2100_004615-T1
OG0000053	XANCAGTX0491_010032-T1, XANCAGTX0491_002627-T1, XANCAGTX0491_001627-T1	XANPAOZ2100_004431-T1
OG0000054	XANCAGTX0491_004006-T1	XANPAOZ2100_002199-T1
OG0000054	XANCAGTX0491_008806-T1	XANPAOZ2100_005597-T1
OG0000055	XANCAGTX0491_009665-T1	XANPAOZ2100_008425-T1
OG0000055	XANCAGTX0491_004812-T1, XANCAGTX0491_001788-T1	XANPAOZ2100_004281-T1
OG0000056	XANCAGTX0491_001848-T1	XANPAOZ2100_004226-T1
OG0000056	XANCAGTX0491_008163-T1, XANCAGTX0491_005630-T1	XANPAOZ2100_005078-T1
OG0000057	XANCAGTX0491_002096-T1	XANPAOZ2100_008398-T1
OG0000058	XANCAGTX0491_007338-T1	XANPAOZ2100_006216-T1
OG0000058	XANCAGTX0491_002443-T1	XANPAOZ2100_008089-T1
OG0000059	XANCAGTX0491_006562-T1	XANPAOZ2100_002949-T1
OG0000059	XANCAGTX0491_002653-T1	XANPAOZ2100_001399-T1
OG0000060	XANCAGTX0491_005695-T1	XANPAOZ2100_005017-T1
OG0000060	XANCAGTX0491_002754-T1	XANPAOZ2100_001498-T1
OG0000061	XANCAGTX0491_008095-T1	XANPAOZ2100_007426-T1
OG0000061	XANCAGTX0491_002905-T1	XANPAOZ2100_001637-T1
OG0000062	XANCAGTX0491_003224-T2, XANCAGTX0491_003224-T1, XANCAGTX0491_008372-T1, XANCAGTX0491_004826-T1, XANCAGTX0491_005584-T1, XANCAGTX0491_006831-T1	XANPAOZ2100_001915-T1
OG0000063	XANCAGTX0491_004919-T1	XANPAOZ2100_005748-T1
OG0000063	XANCAGTX0491_003358-T1	XANPAOZ2100_002045-T1
OG0000064	XANCAGTX0491_003887-T1, XANCAGTX0491_003887-T3, XANCAGTX0491_003887-T2	XANPAOZ2100_002314-T1, XANPAOZ2100_002315-T1
OG0000065	XANCAGTX0491_004141-T1	XANPAOZ2100_004004-T1
OG0000065	XANCAGTX0491_006786-T1	XANPAOZ2100_002749-T1
OG0000066	XANCAGTX0491_006839-T1	XANPAOZ2100_006660-T1
OG0000066	XANCAGTX0491_004346-T1	XANPAOZ2100_003805-T1
OG0000067	XANCAGTX0491_006469-T1	XANPAOZ2100_003035-T1
OG0000067	XANCAGTX0491_004648-T1	XANPAOZ2100_003527-T1
OG0000068	XANCAGTX0491_006400-T1	XANPAOZ2100_003095-T1
OG0000068	XANCAGTX0491_004881-T1, XANCAGTX0491_008356-T1	XANPAOZ2100_007193-T1
OG0000069	XANCAGTX0491_008809-T1	XANPAOZ2100_005601-T1
OG0000070	XANCAGTX0491_005039-T3, XANCAGTX0491_005039-T1, XANCAGTX0491_005039-T2	XANPAOZ2100_005839-T1
OG0000071	XANCAGTX0491_005394-T1	XANPAOZ2100_006151-T1
OG0000072	XANCAGTX0491_005751-T1	XANPAOZ2100_005229-T1
OG0000073	XANCAGTX0491_007137-T1	XANPAOZ2100_006392-T1
OG0000073	XANCAGTX0491_008574-T1	XANPAOZ2100_005386-T1
OG0000074	XANCAGTX0491_007276-T1	XANPAOZ2100_006268-T1
OG0000074	XANCAGTX0491_008928-T1	XANPAOZ2100_007972-T1, XANPAOZ2100_004016-T1
OG0000075	XANCAGTX0491_007994-T1	XANPAOZ2100_007507-T1
OG0000076	XANCAGTX0491_000151-T1	XANPAOZ2100_001112-T1
OG0000076	XANCAGTX0491_009306-T1	XANPAOZ2100_008732-T1
OG0000077	XANCAGTX0491_000152-T1	XANPAOZ2100_001111-T1
OG0000077	XANCAGTX0491_009308-T1	XANPAOZ2100_008730-T1
OG0000078	XANCAGTX0491_000181-T1	XANPAOZ2100_001083-T1
OG0000078	XANCAGTX0491_002780-T1	XANPAOZ2100_001522-T1
OG0000079	XANCAGTX0491_000196-T1, XANCAGTX0491_002933-T2	XANPAOZ2100_001662-T1
OG0000080	XANCAGTX0491_000199-T1	XANPAOZ2100_001071-T1
OG0000080	XANCAGTX0491_004183-T1	XANPAOZ2100_003957-T1
OG0000081	XANCAGTX0491_000239-T1	XANPAOZ2100_001034-T1
OG0000082	XANCAGTX0491_006651-T1	XANPAOZ2100_002870-T1
OG0000082	XANCAGTX0491_000245-T1	XANPAOZ2100_001029-T1
OG0000083	XANCAGTX0491_000349-T3, XANCAGTX0491_000349-T2, XANCAGTX0491_000349-T1	XANPAOZ2100_000937-T1
OG0000084	XANCAGTX0491_008255-T1	XANPAOZ2100_007284-T1
OG0000084	XANCAGTX0491_000374-T1	XANPAOZ2100_000914-T1
OG0000085	XANCAGTX0491_000531-T1	XANPAOZ2100_000779-T1
OG0000086	XANCAGTX0491_000592-T1	XANPAOZ2100_000717-T1
OG0000086	XANCAGTX0491_001524-T1	XANPAOZ2100_004522-T1
OG0000087	XANCAGTX0491_000640-T1	XANPAOZ2100_000675-T1
OG0000087	XANCAGTX0491_001000-T1	XANPAOZ2100_000350-T1
OG0000088	XANCAGTX0491_000750-T1	XANPAOZ2100_000573-T1
OG0000088	XANCAGTX0491_004635-T1	XANPAOZ2100_003537-T1
OG0000089	XANCAGTX0491_000751-T1	XANPAOZ2100_000572-T1
OG0000089	XANCAGTX0491_001371-T1	XANPAOZ2100_000012-T1
OG0000090	XANCAGTX0491_000944-T1	XANPAOZ2100_000399-T1
OG0000090	XANCAGTX0491_000772-T1	XANPAOZ2100_000556-T1
OG0000091	XANCAGTX0491_000801-T1	XANPAOZ2100_000529-T1
OG0000092	XANCAGTX0491_008449-T1	XANPAOZ2100_005278-T1
OG0000092	XANCAGTX0491_001035-T1	XANPAOZ2100_000319-T1
OG0000093	XANCAGTX0491_001922-T2, XANCAGTX0491_001922-T1, XANCAGTX0491_005455-T1, XANCAGTX0491_001165-T1, XANCAGTX0491_005454-T1	XANPAOZ2100_004158-T1
OG0000094	XANCAGTX0491_006178-T1	XANPAOZ2100_003298-T1
OG0000094	XANCAGTX0491_001239-T1	XANPAOZ2100_000133-T1
OG0000095	XANCAGTX0491_002304-T1	XANPAOZ2100_008208-T1
OG0000095	XANCAGTX0491_008711-T1, XANCAGTX0491_001493-T1	XANPAOZ2100_005510-T1
OG0000096	XANCAGTX0491_001766-T1, XANCAGTX0491_001766-T3, XANCAGTX0491_001766-T2	XANPAOZ2100_004300-T1
OG0000097	XANCAGTX0491_007283-T1, XANCAGTX0491_007253-T1, XANCAGTX0491_001902-T1, XANCAGTX0491_001903-T1	XANPAOZ2100_006261-T1
OG0000098	XANCAGTX0491_007180-T1	XANPAOZ2100_006352-T1
OG0000098	XANCAGTX0491_001940-T1	XANPAOZ2100_004143-T1
OG0000099	XANCAGTX0491_002129-T1, XANCAGTX0491_005765-T1, XANCAGTX0491_002130-T1, XANCAGTX0491_009991-T1	XANPAOZ2100_008369-T1
OG0000100	XANCAGTX0491_002236-T1	XANPAOZ2100_008271-T1
OG0000100	XANCAGTX0491_009863-T1	XANPAOZ2100_008607-T1
OG0000101	XANCAGTX0491_002464-T1, XANCAGTX0491_002466-T1, XANCAGTX0491_002465-T1	XANPAOZ2100_008070-T1
OG0000102	XANCAGTX0491_002584-T1	XANPAOZ2100_001333-T1
OG0000102	XANCAGTX0491_006703-T1	XANPAOZ2100_002831-T1
OG0000103	XANCAGTX0491_002698-T1	XANPAOZ2100_001438-T1
OG0000103	XANCAGTX0491_008533-T1	XANPAOZ2100_005349-T1
OG0000104	XANCAGTX0491_002786-T1	XANPAOZ2100_001526-T1
OG0000104	XANCAGTX0491_007825-T1	XANPAOZ2100_006709-T1
OG0000105	XANCAGTX0491_003594-T1	XANPAOZ2100_002577-T1
OG0000105	XANCAGTX0491_002805-T1	XANPAOZ2100_001540-T1
OG0000106	XANCAGTX0491_002891-T1, XANCAGTX0491_002891-T2	XANPAOZ2100_001623-T1
