ID,Species,Outgroup,Taxonomy,Source,Protein annotation,Reference
JACCEH01,Tuber indicum,N,Ascomycota; Pezizomycetes; Pezizales,NCBI,NCBI,Morin et al. Microbiology Resource Announcements. 2021
LHQR01,Penicillium griseofulvum,N,Ascomycota; Eurotiomycetes; Eurotiales,NCBI,NCBI,Banani et al. BMC Genomics. 2016
JALDZD01,Icmadophila ericetorum,N,Ascomycota; Lecanoromycetes; Pertusariales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZE01,Lambiella insularis,N,Ascomycota; Lecanoromycetes; Baeomycetales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JAAEJJ01,Mytilinidion resinicola,N,Ascomycota; Dothideomycetes; Mytilinidiales,NCBI,NCBI,Haridas et al. Stud. Mycol. 2020
RWIE02,Talaromyces pinophilus,N,Ascomycota; Eurotiomycetes; Eurotiales,NCBI,NCBI,Adlakha et al.
GCA_017310585,Histoplasma capsulatum,N,Ascomycota; Eurotiomycetes; Onygenales,NCBI,NCBI,Voorhies et al. MBio 13. 2022
JALDZQ01,Stictis urceolata,N,Ascomycota; Lecanoromycetes; Ostropales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JAKWBI02,Zalerion maritima,N,Ascomycota; Sordariomycetes; Lulworthiales,NCBI,NCBI,Paço et al. Microbiology Resource Announcements. 2023
CAJPDS01,Heterodermia speciosa,N,Ascomycota; Lecanoromycetes; Caliciales,NCBI,NCBI,Tagirdzhanova et al. Mol Ecol. 2021
CAJPDT01,Imshaugia aleurites,N,Ascomycota; Lecanoromycetes; Lecanorales,NCBI,NCBI,Tagirdzhanova et al. Mol Ecol. 2021
JALDZH01,Lobaria immixta,N,Ascomycota; Lecanoromycetes; Peltigerales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZG01,Lignoscripta atroalba,N,Ascomycota; Lecanoromycetes; Trapeliales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZS01,Toensbergia leucococca,N,Ascomycota; Lecanoromycetes; Rhizocarpales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZL01,Pseudocyphellaria aurata,N,Ascomycota; Lecanoromycetes; Peltigerales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZU01,Varicellaria rhodocarp,N,Ascomycota; Lecanoromycetes; Pertusariales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZI01,Loxospora ochrophaea,N,Ascomycota; Lecanoromycetes; Sarrameanales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALDZC01,Hypocenomyce scalaris,N,Ascomycota; Lecanoromycetes; Umbilicariales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JALEAC01,Xylographa vitiligo,N,Ascomycota; Lecanoromycetes; Baeomycetales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
PDLN01,Coleophoma crateriformis,N,Ascomycota; Leotiomycetes; Helotiales,NCBI,NCBI,Wingfield et al. IMA Fungus. 2018
SDJM01,Elsinoe fawcettii,N,Ascomycota; Dothideomycetes; Myriangiales,NCBI,NCBI,Jeffress et al. PLoS ONE. 2020
JALDZR01,Thelotrema lepadinum,N,Ascomycota; Lecanoromycetes; Ostropales,NCBI,NCBI,Resl et al. Nat. Comun. 2022
JAPEUE01,Sclerophora amabilis,N,Ascomycota; Lichinomycetes; Coniocybales,NCBI,NCBI,Diaz Escandon et al. Curr. Biol. 2022
AYEN01,Aureobasidium melanogenum,N,Ascomycota; Dothideomycetes; Dothideales,NCBI,NCBI,Gostin et al. BMC Genomics. 2014
QGMK01,Lachnellula suecica,N,Ascomycota; Leotiomycetes; Helotiales,NCBI,NCBI,Giroux et al. Phytopathology. 2020
GCA_000227075,Botrytis cinerea,N,Ascomycota; Leotiomycetes; Helotiales,NCBI,NCBI,Amselem et al. PLoS genetics. 2011
JAPEVC01,Gnomoniopsis sp. IMI 355080,N,Ascomycota; Sordariomycetes; Diaporthales,NCBI,NCBI,Hill et al. GBE. 2023
JACCJB01,Letharia lupina,N,Ascomycota; Lecanoromycetes; Lecanorales,NCBI,NCBI,McKenzie et al. Genomics. 2020
ABKH02,Paracoccidioides lutzii,N,Ascomycota; Eurotiomycetes; Onygenales,NCBI,NCBI,Desjardins et al. PLoS Genet. 2011
PDNA01,Polytolypa hystricis,N,Ascomycota; Eurotiomycetes; Onygenales,NCBI,NCBI,Muñoz et al. Scientific reports. 2018.
JAIBSO01,Aspergillus fumigatus,N,Ascomycota; Eurotiomycetes; Eurotiales,NCBI,NCBI,Barber et al. Nature microbiology. 2021
NPHW01,Elaphomyces granulatus,N,Ascomycota; Eurotiomycetes; Eurotiales,NCBI,NCBI,Quandt et al. Environ. Microbiol. 2015
JAVRRQ01,Oleoguttula sp. CCFEE 6159,N,Ascomycota; Dothideomycetes; Mycosphaerellales,NCBI,NCBI,Coleine et al. Fungal Diversity. 2024
JAROPH01,Paecilomyces variotii,N,Ascomycota; Eurotiomycetes; Eurotiales,NCBI,NCBI,Van Den Brule et al.
VIFY01,Monascus purpureus,N,Ascomycota; Eurotiomycetes; Eurotiales,NCBI,NCBI,"Geng,C. and Zhang,Y"
JAJNNR01,Daldinia caldariorum,N,Ascomycota; Sordariomycetes; Xylariales,NCBI,NCBI,Franco et al. New Phytologist. 2022
SKBQ01,Thyridium curvatum,N,Ascomycota; Sordariomycetes; Thyridiales,NCBI,NCBI,Varaljay et al. Microbiology Resource Announcements. 2019
LFRF01,Tolypocladium ophioglossoides,N,Ascomycota; Sordariomycetes; Hypocreales,NCBI,NCBI,Quandt et al.  BMC Genomics. 2015
JASJSX01,Parachaetomium inaequale,N,Ascomycota; Sordariomycetes; Sordariales,NCBI,NCBI,Hensen et al. Mol Phylogenet Evol. 2023
AACU03,Pyricularia oryzae,N,Ascomycota; Sordariomycetes; Magnaporthales,NCBI,NCBI,Dean et al. Nature. 2005
coassembly_bin_64,Chaetothyriales,N,Ascomycota; Eurotiomycetes; Chaetothyriales,NCBI,Tagirdzhanova et al. Curr Biol. 2025,Tagirdzhanova et al. Curr Biol. 2025
coassembly_bin_76,Chaetothyriales,N,Ascomycota; Eurotiomycetes; Chaetothyriales,NCBI,Tagirdzhanova et al. Curr Biol. 2025,Tagirdzhanova et al. Curr Biol. 2025
GTX0466_bin_15,Chaetothyriales,N,Ascomycota; Eurotiomycetes; Chaetothyriales,NCBI,Tagirdzhanova et al. Curr Biol. 2025,Tagirdzhanova et al. Curr Biol. 2025
